nombre,deporte,pais,division,fecha_establecimiento
Manchester City,Futbol,Anguilla,Premier League,1983-01-09
Bayern Munich,Futbol,Reunion,Bundesliga,1930-02-26
Paris Saint-Germain,Futbol,Zimbabwe,Ligue 1,1948-08-26
Barcelona,Futbol,Sweden,LaLiga,1938-10-23
Real Madrid,Futbol,Armenia,LaLiga,1965-06-10
Manchester United,Futbol,Dominica,Premier League,1921-01-16
Juventus,Futbol,Dominican Republic,Serie A,1916-08-21
Aston Villa,Futbol,French Guiana,Premier League,1942-10-26
Borussia Dortmund,Futbol,Saint Helena,Bundesliga,1953-08-20
Atletico Madrid,Futbol,Cuba,LaLiga,1945-02-22
Atalanta,Futbol,Kuwait,Serie A,1960-08-20
Chelsea,Futbol,Yemen,Premier League,1926-10-26
Liverpool,Futbol,Grenada,Premier League,1950-02-22
AC Milan,Futbol,Indonesia,Serie A,1917-09-21
Lille,Futbol,Belgium,Ligue 1,1922-03-05
Tottenham,Futbol,Greece,Premier League,1966-09-20
Napoli,Futbol,Monaco,Serie A,1931-03-05
Leicester,Futbol,United Kingdom,Premier League,1922-06-28
Wolfsburg,Futbol,Timor-Leste,Bundesliga,2022-04-15
Inter,Futbol,Philippines,Serie A,1945-08-05
Lyon,Futbol,Albania,Ligue 1,2022-11-03
RB Leipzig,Futbol,American Samoa,Bundesliga,1937-07-25
Leeds,Futbol,Norfolk Island,Premier League,2002-01-05
West Ham,Futbol,El Salvador,Premier League,1932-08-04
Everton,Futbol,Nepal,Premier League,1972-06-09
Bayer Leverkusen,Futbol,Jordan,Bundesliga,1934-02-21
Eintracht Frankfurt,Futbol,Czech Republic,Bundesliga,1947-04-03
Monaco,Futbol,Sierra Leone,Ligue 1,2020-05-13
Roma,Futbol,Taiwan,Serie A,1969-12-04
Sevilla,Futbol,Antarctica (the territory South of 60 deg S),LaLiga,1968-04-28
Borussia M.Gladbach,Futbol,United States of America,Bundesliga,1923-05-22
Arsenal,Futbol,French Guiana,Premier League,1964-09-27
Rennes,Futbol,Puerto Rico,Ligue 1,1917-06-21
VfB Stuttgart,Futbol,Russian Federation,Bundesliga,1954-11-11
Wolverhampton Wanderers,Futbol,Korea,Premier League,2003-12-01
Sassuolo,Futbol,Fiji,Serie A,1908-07-17
Metz,Futbol,Saint Pierre and Miquelon,Ligue 1,1947-07-31
Villarreal,Futbol,British Indian Ocean Territory (Chagos Archipelago),LaLiga,1939-12-06
Real Sociedad,Futbol,Tanzania,LaLiga,2014-09-02
Brighton,Futbol,Niger,Premier League,2019-10-10
Real Betis,Futbol,Turkey,LaLiga,1935-08-18
Burnley,Futbol,Paraguay,Premier League,2017-11-12
Lens,Futbol,Singapore,Ligue 1,2008-03-04
Brest,Futbol,Equatorial Guinea,Ligue 1,1952-04-26
Fulham,Futbol,Cambodia,Premier League,1983-12-27
Marseille,Futbol,Guam,Ligue 1,2023-09-16
Sampdoria,Futbol,Maldives,Serie A,1998-09-02
Montpellier,Futbol,Kyrgyz Republic,Ligue 1,1998-05-01
Nice,Futbol,Azerbaijan,Ligue 1,1913-10-28
Hoffenheim,Futbol,Liberia,Bundesliga,1996-02-17
Southampton,Futbol,British Virgin Islands,Premier League,1933-12-01
Newcastle United,Futbol,Hungary,Premier League,2005-07-21
Lazio,Futbol,Nauru,Serie A,1949-11-20
Nantes,Futbol,Greece,Ligue 1,2010-03-26
Union Berlin,Futbol,Sri Lanka,Bundesliga,1963-03-05
Strasbourg,Futbol,Guinea,Ligue 1,1931-11-29
Crystal Palace,Futbol,Jersey,Premier League,2020-10-08
Freiburg,Futbol,Myanmar,Bundesliga,1934-08-03
Valencia,Futbol,Saint Helena,LaLiga,1936-01-12
Celta Vigo,Futbol,Equatorial Guinea,LaLiga,1983-02-05
Reims,Futbol,Pakistan,Ligue 1,1933-11-28
Torino,Futbol,Sierra Leone,Serie A,2005-12-20
Verona,Futbol,Serbia,Serie A,1927-01-11
Saint-Etienne,Futbol,Bulgaria,Ligue 1,2017-11-22
Bordeaux,Futbol,Costa Rica,Ligue 1,1986-05-02
Hertha Berlin,Futbol,Togo,Bundesliga,1923-06-07
Cagliari,Futbol,Turkmenistan,Serie A,1958-03-01
Mainz 05,Futbol,South Georgia and the South Sandwich Islands,Bundesliga,1960-06-05
Bologna,Futbol,Serbia,Serie A,1928-03-29
Augsburg,Futbol,Falkland Islands (Malvinas),Bundesliga,1939-03-28
Udinese,Futbol,Belarus,Serie A,1947-04-13
SD Huesca,Futbol,Cape Verde,LaLiga,2011-01-14
Athletic Bilbao,Futbol,Denmark,LaLiga,1959-11-21
Osasuna,Futbol,Saint Martin,LaLiga,1938-04-11
Lorient,Futbol,Heard Island and McDonald Islands,Ligue 1,2005-08-14
Genoa,Futbol,Guam,Serie A,2000-12-25
Arminia Bielefeld,Futbol,Papua New Guinea,Bundesliga,2008-04-18
Angers,Futbol,Malta,Ligue 1,1955-08-10
Eibar,Futbol,Bolivia,LaLiga,2013-10-12
Werder Bremen,Futbol,Honduras,Bundesliga,1916-05-15
Fiorentina,Futbol,Netherlands,Serie A,1985-08-15
Nimes,Futbol,Lesotho,Ligue 1,1944-10-22
West Bromwich Albion,Futbol,Morocco,Premier League,2015-08-01
FC Koln,Futbol,Grenada,Bundesliga,1922-02-26
Deportivo Alaves,Futbol,Cote d'Ivoire,LaLiga,1916-11-19
Levante,Futbol,Zimbabwe,LaLiga,1957-12-02
Spezia,Futbol,British Virgin Islands,Serie A,1932-04-26
Getafe,Futbol,Paraguay,LaLiga,1998-09-27
Parma Calcio 1913,Futbol,Gibraltar,Serie A,1938-08-04
Elche,Futbol,Cayman Islands,LaLiga,1994-01-15
Granada,Futbol,Belgium,LaLiga,1911-12-25
Cadiz,Futbol,Saint Barthelemy,LaLiga,2010-07-17
Real Valladolid,Futbol,Singapore,LaLiga,1978-11-27
Sheffield United,Futbol,Moldova,Premier League,1946-01-11
Crotone,Futbol,Gambia,Serie A,2007-07-19
Benevento,Futbol,Netherlands,Serie A,2006-10-19
Dijon,Futbol,Mauritania,Ligue 1,1915-07-19
Schalke 04,Futbol,Cambodia,Bundesliga,1957-06-28
